epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5142,1.23464,3.46269,1.00308,0.00388,0.27816,0.05588,0.03277,0.96251,4.09137,0.92806,0.000362283,0.000362283,0.000362283
2,26.4625,1.1535,1.93566,0.97524,0.92605,0.00987,0.60483,0.44844,0.96279,3.28357,0.95411,0.000725363,0.000725363,0.000725363
3,32.2273,1.08119,1.52175,0.97901,0.89796,0.75323,0.86133,0.62197,1.06532,1.66366,1.01526,0.00108111,0.00108111,0.00108111
4,37.9625,1.04674,1.35558,0.96308,0.92329,0.85672,0.90759,0.67248,0.88864,0.90295,0.95646,0.001078,0.001078,0.001078
5,43.6873,1.05487,1.27263,0.98085,0.94102,0.87937,0.92768,0.67035,0.90256,0.74795,0.95015,0.001067,0.001067,0.001067
6,49.377,0.9832,1.1101,0.95856,0.92494,0.90203,0.94212,0.70314,0.85111,0.71468,0.95337,0.00105601,0.00105601,0.00105601
7,55.2103,0.97295,1.06143,0.94371,0.94919,0.91346,0.94903,0.71498,0.84503,0.67029,0.94815,0.00104501,0.00104501,0.00104501
8,60.9308,0.91612,0.99624,0.93771,0.93616,0.92154,0.94659,0.72806,0.8055,0.67085,0.93171,0.00103401,0.00103401,0.00103401
9,66.6393,0.96377,0.98528,0.93957,0.94853,0.90954,0.94798,0.7224,0.81396,0.6692,0.9242,0.00102301,0.00102301,0.00102301
10,72.306,0.94571,0.94624,0.93924,0.94394,0.92865,0.94436,0.73511,0.78772,0.62968,0.93363,0.00101201,0.00101201,0.00101201
11,78.0248,0.91626,0.8815,0.93143,0.93844,0.91185,0.94668,0.7135,0.79542,0.66658,0.92764,0.00100101,0.00100101,0.00100101
12,83.8137,0.8683,0.82315,0.92136,0.93383,0.92428,0.94859,0.7135,0.77642,0.74602,0.92272,0.000990012,0.000990012,0.000990012
13,89.5732,0.8888,0.80415,0.91993,0.94709,0.93503,0.95442,0.73644,0.759,0.62815,0.91078,0.000979013,0.000979013,0.000979013
14,95.3151,0.89492,0.79586,0.91878,0.9559,0.93078,0.96095,0.75165,0.76173,0.58914,0.90934,0.000968014,0.000968014,0.000968014
15,101.051,0.87187,0.76752,0.91457,0.95189,0.93775,0.95564,0.77198,0.70674,0.56788,0.89439,0.000957015,0.000957015,0.000957015
16,106.762,0.86904,0.75565,0.90772,0.95287,0.91523,0.94667,0.74141,0.71656,0.59987,0.90037,0.000946016,0.000946016,0.000946016
17,112.603,0.8338,0.70466,0.902,0.9283,0.92935,0.95015,0.76137,0.71419,0.6092,0.9016,0.000935018,0.000935018,0.000935018
18,118.288,0.82715,0.69566,0.89495,0.93044,0.95342,0.95788,0.7757,0.71225,0.56918,0.9034,0.000924019,0.000924019,0.000924019
19,124.026,0.81366,0.6911,0.90258,0.95137,0.93926,0.95745,0.77607,0.69403,0.57316,0.89117,0.00091302,0.00091302,0.00091302
20,129.747,0.82368,0.67612,0.88678,0.95298,0.94116,0.95664,0.7672,0.70312,0.58499,0.90117,0.000902021,0.000902021,0.000902021
21,135.468,0.81147,0.6451,0.89211,0.93936,0.94616,0.95629,0.77213,0.69052,0.53998,0.88818,0.000891022,0.000891022,0.000891022
22,141.279,0.81345,0.65868,0.89432,0.95054,0.9342,0.96148,0.77336,0.69768,0.54481,0.89379,0.000880023,0.000880023,0.000880023
23,146.998,0.80255,0.65112,0.89138,0.96241,0.93313,0.96209,0.7865,0.68444,0.53359,0.8958,0.000869024,0.000869024,0.000869024
24,152.746,0.77478,0.60982,0.87489,0.95317,0.95222,0.96054,0.77789,0.67009,0.52203,0.88487,0.000858025,0.000858025,0.000858025
25,158.478,0.786,0.61817,0.88214,0.96086,0.94759,0.96009,0.76249,0.72501,0.58087,0.90006,0.000847026,0.000847026,0.000847026
26,164.198,0.78447,0.63449,0.8838,0.95581,0.93669,0.96322,0.79409,0.66229,0.52587,0.88888,0.000836027,0.000836027,0.000836027
27,169.954,0.77803,0.60367,0.87746,0.95913,0.94835,0.96143,0.80012,0.63501,0.50138,0.8796,0.000825029,0.000825029,0.000825029
28,175.803,0.76611,0.5983,0.87646,0.96066,0.96353,0.96461,0.78384,0.67972,0.52903,0.88926,0.00081403,0.00081403,0.00081403
29,181.531,0.77598,0.58805,0.87854,0.96655,0.93533,0.9616,0.79069,0.65255,0.50717,0.88898,0.000803031,0.000803031,0.000803031
30,187.214,0.76519,0.58403,0.88023,0.95009,0.94827,0.95875,0.79102,0.62965,0.50305,0.88127,0.000792032,0.000792032,0.000792032
31,192.914,0.76482,0.58219,0.8684,0.94613,0.95632,0.96263,0.79186,0.65498,0.51596,0.8818,0.000781033,0.000781033,0.000781033
