epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6455,1.05965,2.55205,0.96547,0.86842,0.8226,0.90457,0.70972,0.75277,1.09924,0.90924,0.000362283,0.000362283,0.000362283
2,20.0198,0.92862,0.91508,0.91521,0.89118,0.88334,0.92086,0.70622,0.81979,0.69306,0.92789,0.000725363,0.000725363,0.000725363
3,29.295,0.98255,0.79253,0.93214,0.88842,0.87494,0.90734,0.65561,0.93026,0.77098,0.97118,0.00108111,0.00108111,0.00108111
4,38.5737,0.91697,0.74606,0.91952,0.85947,0.90702,0.90619,0.69464,0.7808,0.72503,0.9179,0.001078,0.001078,0.001078
5,47.9123,0.91579,0.7321,0.93234,0.89238,0.92013,0.93025,0.7383,0.75496,0.7906,0.92058,0.001067,0.001067,0.001067
6,57.4409,0.88341,0.68317,0.9308,0.95176,0.92601,0.95127,0.74694,0.74071,0.61652,0.91265,0.00105601,0.00105601,0.00105601
7,66.7936,0.86371,0.6398,0.90843,0.94702,0.93408,0.95421,0.74097,0.74554,0.58069,0.91129,0.00104501,0.00104501,0.00104501
8,76.0487,0.83207,0.63238,0.89859,0.96068,0.92967,0.9479,0.74607,0.74266,0.55228,0.91123,0.00103401,0.00103401,0.00103401
9,85.305,0.87511,0.6402,0.90148,0.94628,0.91917,0.94938,0.7556,0.71355,0.53869,0.89241,0.00102301,0.00102301,0.00102301
10,94.6523,0.81322,0.6137,0.89385,0.95482,0.92282,0.95375,0.78127,0.68447,0.53985,0.88662,0.00101201,0.00101201,0.00101201
11,104.136,0.80051,0.59848,0.88375,0.91363,0.95106,0.96149,0.77514,0.67996,0.54009,0.88984,0.00100101,0.00100101,0.00100101
12,113.44,0.77705,0.57055,0.8856,0.96407,0.93294,0.95949,0.7816,0.6348,0.47618,0.87079,0.000990012,0.000990012,0.000990012
13,122.835,0.76566,0.54709,0.87804,0.9668,0.94224,0.96019,0.77232,0.66011,0.47891,0.86712,0.000979013,0.000979013,0.000979013
14,132.126,0.79208,0.55541,0.88424,0.97223,0.93321,0.96213,0.79588,0.63778,0.46561,0.87749,0.000968014,0.000968014,0.000968014
