epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,154.199,0.45761,0.38411,0.8011,0.98665,0.94912,0.97471,0.84444,0.47946,0.35671,0.80454,0.000742625,0.000742625,0.000742625
43,157.821,0.47445,0.38116,0.80085,0.98276,0.95972,0.9787,0.84106,0.49775,0.35639,0.80157,0.00073025,0.00073025,0.00073025
44,161.439,0.45525,0.37091,0.79931,0.98803,0.96302,0.97837,0.84386,0.46246,0.34412,0.79996,0.000717875,0.000717875,0.000717875
45,165.063,0.46477,0.37421,0.79726,0.99301,0.96609,0.98063,0.85398,0.46832,0.35538,0.8004,0.0007055,0.0007055,0.0007055
46,168.699,0.45942,0.37896,0.79003,0.99368,0.97463,0.98424,0.84944,0.49211,0.34962,0.80154,0.000693125,0.000693125,0.000693125
47,172.319,0.46118,0.36734,0.79058,0.98595,0.96706,0.98179,0.83861,0.4826,0.3569,0.80106,0.00068075,0.00068075,0.00068075
48,175.933,0.45143,0.37231,0.79503,0.98274,0.96433,0.98257,0.83009,0.48613,0.35677,0.79848,0.000668375,0.000668375,0.000668375
49,179.548,0.42538,0.35003,0.79939,0.97975,0.97868,0.98863,0.85128,0.47564,0.34186,0.79944,0.000656,0.000656,0.000656
50,183.15,0.43125,0.34988,0.80505,0.97631,0.97368,0.98981,0.83344,0.49203,0.34634,0.79976,0.000643625,0.000643625,0.000643625
51,186.779,0.44017,0.36192,0.79451,0.97734,0.97539,0.98335,0.85376,0.43754,0.34505,0.79568,0.00063125,0.00063125,0.00063125
52,190.406,0.43426,0.35357,0.79585,0.96473,0.96509,0.97978,0.86109,0.4635,0.34557,0.79804,0.000618875,0.000618875,0.000618875
53,194.041,0.41785,0.34473,0.79842,0.98491,0.9656,0.98034,0.85288,0.4343,0.3422,0.79346,0.0006065,0.0006065,0.0006065
54,197.661,0.4193,0.34155,0.79323,0.98258,0.94666,0.97766,0.86428,0.42395,0.33233,0.79487,0.000594125,0.000594125,0.000594125
55,201.291,0.43608,0.34291,0.79337,0.98025,0.94895,0.98008,0.87258,0.3994,0.3221,0.7908,0.00058175,0.00058175,0.00058175
56,204.934,0.42813,0.34586,0.79639,0.97888,0.97107,0.9795,0.86052,0.43523,0.33732,0.7962,0.000569375,0.000569375,0.000569375
